Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,5.960496454,6.050248187,6.073342608,6.105530864,6.03094771,6.045792453,5.988202845
Moon_Lundock081121Luna1,-11.73979736,-11.83756475,-12.00910022,-12.3212834,-12.63151397,-12.18754105,-12.18775234
Earth_Lundock081121,-4.940396636,-4.745536684,-4.487210405,-4.793179178,-4.842449881,-4.765470273,-4.760624207
Mercury_Mallama2017,-0.573935376,-0.786636308,-0.996878914,-1.490282929,-1.650060226,-1.89370976,-1.907822167
Io_Fanale1974,3.260425508,3.070612094,2.899433856,2.575404244,2.510895016,2.337330025,2.334674704
Mars_McCord1971,-1.068013664,-1.667352874,-1.924337718,-2.043509882,-2.00570928,-2.082889489,-2.055517568
Dione_Lundock080505,7.959953887,8.126299284,8.29321411,8.372269979,8.817261557,9.049663385,9.064439521
Rhea_Lundock081125,7.468445952,7.460372574,7.529009379,7.489159583,7.890863492,9.388322213,9.171545118
Callisto_Spencer1999leading,4.198759267,4.01597811,3.88121513,3.771736752,3.888414464,3.96021101,3.944483167
Europa_Spencer1999trailing,3.321731356,3.156082183,3.076104781,3.140425156,3.876728952,4.598922894,4.607644222
Ganymede_Spencer1999leading,2.978837549,2.823308114,2.73620037,2.742586303,3.17817722,3.348527476,3.37809481
Enceladus_VIMS,9.529803671,9.456718465,9.405875481,9.408017305,9.676156123,9.745636148,9.815030139
Pluto_LorenziProtopapa,11.97568168,11.7049341,11.52961455,11.6004142,11.65315442,11.99016597,11.75302864
Jupiter_Lundock080507,-4.818717947,-4.821558574,-4.689696405,-3.706871573,-3.25117292,-1.843286276,-1.878625851
Saturn_Lundock080505withRing,-1.427338524,-1.323775702,-1.025268268,-0.607639701,-0.612429476,2.227094273,1.762220768
Saturn_Lundock081119NPole,-1.200674121,-1.476163427,-1.430892339,-0.962504088,-0.885279694,1.846695302,1.022214404
Saturn_Lundock081119withRing,-1.208723092,-1.41787494,-1.353502455,-0.860017417,-0.764000206,1.685347679,1.080365243
Saturn_Lundock081122withRing,-1.216803732,-1.202012112,-1.041372091,-0.563839109,-0.360760932,1.739287488,1.193027643
Neptune_Lundock080507,5.47283639,5.928611924,6.864587675,8.056442476,8.468271394,9.140609836,10.62959909
Neptune_Lundock081120,5.451950567,6.0613568,7.086914448,9.109823558,9.391234652,11.96362902,11.95824816
Neptune_Lundock081125,5.449768641,6.061332748,7.049161924,8.649023255,8.812475529,10.73753996,10.36915471
Neptune_Lundock081126,5.468106879,5.870283211,6.792992361,7.559272464,7.844102424,8.724430189,9.020030541
Uranus_Lundock080511,3.47296662,4.045120804,5.186686724,7.355866017,7.622001171,10.31897196,10.94667459
Uranus_Lundock081120,3.357395497,3.898461078,4.972109008,7.169346149,7.577646879,11.88230142,11.77933924
Titan_Lundock080505,5.982756002,5.888473946,6.080191933,6.97368173,8.04419579,8.777848579,8.403989054
Titan_Lundock080506,5.993830049,5.596383561,5.468465469,6.10085581,6.600088751,7.178968648,6.7466629
Titan_Lundock081124,6.199468033,5.913323552,6.040726002,6.859863505,7.432688314,9.942652573,9.669432114
Venus_MeadowsSpencer,-6.071335277,-6.137947088,-6.211383886,-6.181600349,-5.988364268,-5.548725323,-5.3745645
