Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,7.609456036,7.50791749,7.364647854,7.196702839,7.007114002,6.990447193,6.934810926
Moon_Lundock081121Luna1,-10.09190588,-10.3910767,-10.71701745,-11.23056277,-11.65589567,-11.24259929,-11.24122911
Earth_Lundock081121,-3.29095708,-3.281425602,-3.192930545,-3.704345758,-3.865931533,-3.820699203,-3.814416943
Mercury_Mallama2017,1.066615529,0.655611963,0.292551122,-0.401601608,-0.674421942,-0.948821555,-0.961190641
Io_Fanale1974,4.895265011,4.513618,4.187569745,3.666286652,3.489747198,3.282333011,3.281129558
Mars_McCord1971,0.560771466,-0.228612705,-0.638511035,-0.952189855,-1.027904307,-1.138749009,-1.109801273
Dione_Lundock080505,9.612701995,9.584780828,9.586964064,9.463970993,9.79319704,9.994427479,10.01060608
Rhea_Lundock081125,9.116196413,8.913372222,8.822946267,8.580291287,8.866650866,10.33307019,10.11756988
Callisto_Spencer1999leading,5.825978132,5.464050174,5.173855788,4.863248386,4.86350336,4.905089779,4.890926949
Europa_Spencer1999trailing,4.968333576,4.601525093,4.365332423,4.232111799,4.854232388,5.544117211,5.55433715
Ganymede_Spencer1999leading,4.614548097,4.273711518,4.02070371,3.834778322,4.154196923,4.293234747,4.324181947
Enceladus_VIMS,11.17573946,10.90727259,10.69840948,10.49774076,10.65169078,10.6899912,10.76090061
Pluto_LorenziProtopapa,13.61805872,13.15318665,12.82080632,12.68987292,12.6317058,12.93602662,12.70058015
Jupiter_Lundock080507,-3.17198823,-3.365967742,-3.398105516,-2.62624223,-2.270949098,-0.898623046,-0.930466775
Saturn_Lundock080505withRing,0.223953115,0.135009755,0.267456134,0.471920127,0.368941211,3.173887982,2.711077183
Saturn_Lundock081119NPole,0.436179254,-0.027026778,-0.139380408,0.116979017,0.096230372,2.794790234,1.972260552
Saturn_Lundock081119withRing,0.430891172,0.032173807,-0.061799882,0.22037903,0.217046505,2.633443952,2.030224734
Saturn_Lundock081122withRing,0.431022489,0.253215248,0.250376455,0.517555004,0.62046662,2.687151962,2.142759998
Neptune_Lundock080507,7.130121242,7.403948263,8.159974044,9.136483712,9.448580641,10.08216731,11.5744523
Neptune_Lundock081120,7.114991468,7.539875659,8.381751355,10.19039956,10.37072852,12.91106559,12.90643268
Neptune_Lundock081125,7.113150741,7.539309393,8.343965417,9.731403978,9.79126762,11.68555397,11.31755689
Neptune_Lundock081126,7.123635597,7.344924649,8.08785675,8.638854956,8.823714016,9.670014335,9.967241795
Uranus_Lundock080511,5.134161475,5.523688618,6.48332581,8.43369039,8.601859901,11.26308432,11.8951169
Uranus_Lundock081120,5.018356704,5.375955515,6.267806682,8.244415141,8.558150511,12.83020682,12.72719796
Titan_Lundock080505,7.624924415,7.343776014,7.373292845,8.057546504,9.024540191,9.725717548,9.353142911
Titan_Lundock080506,7.62960612,7.039430245,6.760154799,7.182693732,7.579715426,8.126965155,7.69564911
Titan_Lundock081124,7.835294158,7.363183107,7.334688896,7.943455997,8.412596389,10.88988648,10.61766523
Venus_MeadowsSpencer,-4.43248837,-4.687455499,-4.923806577,-5.092142273,-5.010407278,-4.60736654,-4.432240196
