Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,8.758873304,8.48325232,8.207708148,7.853520701,7.525560826,7.493976982,7.431843946
Moon_Lundock081121Luna1,-8.943665681,-9.425106161,-9.87329201,-10.57420062,-11.13835617,-10.73985219,-10.74416081
Earth_Lundock081121,-2.140959653,-2.300497635,-2.347717371,-3.049821413,-3.346807124,-3.318513153,-3.317434746
Mercury_Mallama2017,2.206021113,1.616750234,1.136796464,0.253998361,-0.155923077,-0.443259647,-0.463515657
Io_Fanale1974,6.029359732,5.47505511,5.022883117,4.321715831,4.011888315,3.780358368,3.775802306
Mars_McCord1971,1.686094501,0.731355169,0.201955126,-0.295232079,-0.507070032,-0.63509687,-0.613549996
Dione_Lundock080505,10.76585042,10.56108853,10.4319204,10.12127846,10.31121156,10.49633248,10.50748286
Rhea_Lundock081125,10.26438905,9.88489365,9.668046482,9.237106015,9.384464293,10.83220376,10.61436075
Callisto_Spencer1999leading,6.955767972,6.430219633,6.023313463,5.520898932,5.381401457,5.408192981,5.387088913
Europa_Spencer1999trailing,6.117794167,5.570331297,5.210095711,4.889108781,5.373397161,6.048136049,6.052236194
Ganymede_Spencer1999leading,5.755334356,5.244898757,4.860604001,4.491206835,4.671831459,4.796903864,4.819716815
Enceladus_VIMS,12.32213176,11.87670655,11.54247545,11.15246671,11.16845949,11.19400878,11.2579228
Pluto_LorenziProtopapa,14.76039701,14.12135931,13.66580555,13.3450415,13.1545193,13.43500302,13.19739572
Jupiter_Lundock080507,-2.024844028,-2.392192194,-2.554756498,-1.97973635,-1.744915851,-0.389762611,-0.432527376
Saturn_Lundock080505withRing,1.375539345,1.111614476,1.111555293,1.117335157,0.896898197,3.672920609,3.208445362
Saturn_Lundock081119NPole,1.573605366,0.941231901,0.703863068,0.76238271,0.62449487,3.292580803,2.469812182
Saturn_Lundock081119withRing,1.571031156,1.001222864,0.781608869,0.866667787,0.744501022,3.130696763,2.527826706
Saturn_Lundock081122withRing,1.579313919,1.226685791,1.093837712,1.164795616,1.148182471,3.184691815,2.640494857
Neptune_Lundock080507,8.288009244,8.395055063,9.005968283,9.782666471,9.974762036,10.61007307,12.0742626
Neptune_Lundock081120,8.278473227,8.533783023,9.22723813,10.83711618,10.89531008,13.40424963,13.4011182
Neptune_Lundock081125,8.277018075,8.53273237,9.189492146,10.37979763,10.3145401,12.17836556,11.81364106
Neptune_Lundock081126,8.279595848,8.335406656,8.933397174,9.284649731,9.348598836,10.16895315,10.46347862
Uranus_Lundock080511,6.295883956,6.517667436,7.330238799,9.077870227,9.127223791,11.7690353,12.39406364
Uranus_Lundock081120,6.179748419,6.368962559,7.113872534,8.886088435,9.084673223,13.31925534,13.2199838
Titan_Lundock080505,8.767561657,8.317384568,8.217774629,8.707289178,9.550500554,10.22352511,9.850104414
Titan_Lundock080506,8.765778874,8.002537528,7.603578251,7.830521306,8.104451661,8.623471085,8.192590683
Titan_Lundock081124,8.971745113,8.332134331,8.1798579,8.592945473,8.937875303,11.3867556,11.11438396
Venus_MeadowsSpencer,-3.29575768,-3.718927585,-4.080575931,-4.437879211,-4.490968376,-4.100726429,-3.933154946
