Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,11.56903504,10.84555379,10.119809,9.061175581,8.274565864,8.093453031,8.010215914
Moon_Lundock081121Luna1,-6.1368811,-7.089382015,-7.960869475,-9.36757181,-10.39450418,-10.14297919,-10.16600369
Earth_Lundock081121,0.670811426,0.078955484,-0.428482362,-1.84814542,-2.592828028,-2.724095344,-2.739856991
Mercury_Mallama2017,4.949656284,3.937956187,3.069743075,1.457560677,0.594760041,0.160395033,0.117196393
Io_Fanale1974,8.792979661,7.852334009,6.93485512,5.524899579,4.781738497,4.369551857,4.3480949
Mars_McCord1971,4.409416217,3.060993424,2.132959436,0.912311106,0.236676644,-0.032599057,-0.035554191
Dione_Lundock080505,13.5875256,12.92889698,12.35003152,11.33038932,11.05673156,11.08936766,11.08450514
Rhea_Lundock081125,13.07096127,12.23945245,11.58639574,10.44494764,10.12927347,11.41505218,11.19117892
Callisto_Spencer1999leading,9.740403212,8.76034743,7.955613217,6.72550516,6.137454154,5.998900525,5.959826446
Europa_Spencer1999trailing,8.982824417,7.87438902,7.12519048,6.096687853,6.114802436,6.64331418,6.631866088
Ganymede_Spencer1999leading,8.577026064,7.660837879,6.83657107,5.697208213,5.414354651,5.393838785,5.39498644
Enceladus_VIMS,15.12383015,14.2236057,13.45750684,12.35413478,11.90625633,11.79117922,11.83476945
Pluto_LorenziProtopapa,17.56262104,16.46732023,15.58505749,14.54816683,13.92182473,14.02249873,13.77789645
Jupiter_Lundock080507,0.778621947,-0.031355835,-0.641191961,-0.793794167,-0.945568035,0.231456382,0.149355117
Saturn_Lundock080505withRing,4.192378445,3.482320695,3.027419549,2.299721372,1.707547976,4.253578079,3.789661434
Saturn_Lundock081119NPole,4.350057984,3.28700548,2.617094794,1.944790408,1.43732584,3.871002824,3.053690848
Saturn_Lundock081119withRing,4.35509848,3.349545186,2.695341446,2.050944072,1.552377226,3.708355644,3.111570492
Saturn_Lundock081122withRing,4.38635535,3.587275015,3.00709068,2.351676006,1.957136244,3.763328365,3.223762718
Neptune_Lundock080507,11.12507072,10.8099155,10.92584026,10.96753559,10.77225288,11.31199294,12.65385454
Neptune_Lundock081120,11.13104232,10.95649512,11.14323248,12.02289409,11.68281581,13.96498278,13.97523415
Neptune_Lundock081125,11.13102898,10.95414986,11.10631203,11.56890381,11.09426489,12.73657733,12.3923556
Neptune_Lundock081126,11.11019096,10.74862999,10.85028374,10.46840605,10.13861236,10.74911848,11.04105499
Uranus_Lundock080511,9.143634079,8.94148485,9.252941651,10.25895021,9.919534482,12.38182909,12.98011274
Uranus_Lundock081120,9.025955435,8.789700826,9.031318812,10.06095042,9.885434517,13.86425264,13.78894916
Titan_Lundock080505,11.55883702,10.67900398,10.13525106,9.900627967,10.34632772,10.80542858,10.4321941
Titan_Lundock080506,11.53901708,10.3323636,9.516978948,9.019059956,8.893460957,9.20015266,8.77430391
Titan_Lundock081124,11.74559896,10.68195158,10.09967805,9.784778515,9.730595167,11.9621372,11.69342994
Venus_MeadowsSpencer,-0.515287007,-1.342872837,-2.120777523,-3.241648463,-3.737866853,-3.493671649,-3.35149479
