Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,8.391421581,8.201154379,7.984115062,7.754445662,7.461533286,7.449363407,7.39361551
Moon_Lundock081121Luna1,-9.310677233,-9.702597889,-10.09722917,-10.67311787,-11.20165001,-10.78390964,-10.78251757
Earth_Lundock081121,-2.508828623,-2.585301633,-2.571756384,-3.148102681,-3.411393844,-3.361719083,-3.355732584
Mercury_Mallama2017,1.847726993,1.343452199,0.91472248,0.156468461,-0.223853539,-0.487925659,-0.504904097
Io_Fanale1974,5.670317199,5.208731617,4.815336504,4.22057298,3.960189665,3.733680109,3.730037476
Mars_McCord1971,1.315483509,0.459878279,-0.01550847,-0.394034151,-0.572011723,-0.679941597,-0.652284254
Dione_Lundock080505,10.39638265,10.27882116,10.20799919,10.02254267,10.24766904,10.45324625,10.46940488
Rhea_Lundock081125,9.897581895,9.604791026,9.443865935,9.138015359,9.321072915,10.79204321,10.57651782
Callisto_Spencer1999leading,6.61549758,6.151565209,5.796616486,5.419136446,5.309932016,5.364695929,5.346443066
Europa_Spencer1999trailing,5.772984158,5.2827743,4.978487894,4.793238374,5.304396734,6.007206922,6.015694535
Ganymede_Spencer1999leading,5.392755364,4.96367026,4.644616934,4.398081002,4.601670601,4.757591992,4.784335905
Enceladus_VIMS,11.95608214,11.59657103,11.3186146,11.05692553,11.10460213,11.15223807,11.21931795
Pluto_LorenziProtopapa,14.39502658,13.84685323,13.44350157,13.25120477,13.09509774,13.38695443,13.15215118
Jupiter_Lundock080507,-2.391115191,-2.672985602,-2.77755849,-2.076014939,-1.811393996,-0.43975582,-0.472297176
Saturn_Lundock080505withRing,1.006906222,0.82936151,0.88863672,1.022196556,0.826314166,3.631281791,3.16857851
Saturn_Lundock081119NPole,1.212328913,0.662796122,0.481227973,0.667099001,0.553565228,3.250481253,2.429636338
Saturn_Lundock081119withRing,1.208350321,0.722495136,0.558851307,0.771084184,0.674152755,3.090278426,2.487880929
Saturn_Lundock081122withRing,1.212400326,0.945880096,0.870907869,1.068814416,1.077756153,3.14447705,2.60077819
Neptune_Lundock080507,7.916086578,8.106866675,8.783260297,9.686649745,9.905957711,10.54218901,12.03552985
Neptune_Lundock081120,7.903474417,8.244446216,9.004143998,10.74099124,10.82783748,13.36709722,13.36359536
Neptune_Lundock081125,7.901804649,8.243605269,8.966437688,10.2833333,10.24771459,12.14345536,11.77553327
Neptune_Lundock081126,7.908720619,8.047593857,8.710458148,9.188882729,9.280905431,10.12767644,10.42575306
Uranus_Lundock080511,5.921792571,6.228283534,7.107655893,8.982015873,9.05893217,11.72232981,12.35615379
Uranus_Lundock081120,5.805906829,6.079917103,6.890790074,8.791364339,9.016761551,13.2840373,13.18303222
Titan_Lundock080505,8.403615128,8.036433678,7.994632907,8.610290003,9.481402197,10.18586314,9.810148646
Titan_Lundock080506,8.405033534,7.726532252,7.380573955,7.734060179,8.036642596,8.587073757,8.152748704
Titan_Lundock081124,8.610983655,8.053200343,7.956404781,8.496178499,8.869387166,11.34689992,11.07471634
Venus_MeadowsSpencer,-3.649781089,-3.992121161,-4.301081426,-4.532728286,-4.553659752,-4.11453613,-3.937901724
