Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,6.108647011,6.222097736,6.199103665,6.296762789,6.270990407,6.190997529,6.187561083
Moon_Lundock081121Luna1,-11.60478237,-11.66865411,-11.87856187,-12.11871922,-12.35727504,-11.99699693,-11.97430182
Earth_Lundock081121,-4.786066104,-4.568613651,-4.365108684,-4.597104319,-4.615233652,-4.577127087,-4.541061436
Mercury_Mallama2017,-0.423966261,-0.601128055,-0.903859181,-1.283703248,-1.457841742,-1.691359778,-1.677038479
Io_Fanale1974,3.531058972,3.247722748,2.967321189,2.77509119,2.721209954,2.493948277,2.529859427
Mars_McCord1971,-0.927874371,-1.484500732,-1.77591356,-1.797520471,-1.821363388,-1.89307296,-1.864076298
Dione_Lundock080505,8.112433508,8.299194368,8.426141153,8.57287042,9.042445771,9.247296898,9.29162091
Rhea_Lundock081125,7.612981769,7.634256195,7.653253094,7.679043498,8.12033686,9.396066886,9.426453844
Callisto_Spencer1999leading,4.415341884,4.18445859,3.947067909,3.998932316,4.055426862,4.119807129,4.117316507
Europa_Spencer1999trailing,3.485619805,3.355894224,3.118533771,3.392000806,4.014918933,4.987066093,4.913821329
Ganymede_Spencer1999leading,3.124183876,3.008296061,2.897620668,2.943304105,3.339840577,3.538449258,3.553224501
Enceladus_VIMS,9.67500229,9.628911327,9.553157882,9.627925354,9.852643945,9.933917435,10.01282772
Pluto_LorenziProtopapa,12.10823374,11.87804031,11.64500547,11.77676073,11.87856364,12.08237626,11.93994248
Jupiter_Lundock080507,-4.672369007,-4.644844452,-4.469592911,-3.507457604,-3.18818534,-1.744619071,-1.827588633
Saturn_Lundock080505withRing,-1.283749873,-1.145142765,-0.783300265,-0.428929209,-0.411646522,2.151065875,1.852868078
Saturn_Lundock081119NPole,-1.059016196,-1.297372376,-1.177900936,-0.759846907,-0.700777731,1.504141884,1.031760007
Saturn_Lundock081119withRing,-1.064654238,-1.239034941,-1.108912263,-0.657959669,-0.572907336,1.558896618,1.116432742
Saturn_Lundock081122withRing,-1.07160628,-1.024694091,-0.801676844,-0.358692043,0.209629434,1.660911826,1.251782812
Neptune_Lundock080507,5.634378108,6.121493189,7.114600407,8.235268002,8.579605266,8.977053053,10.32885261
Neptune_Lundock081120,5.600922657,6.249297477,7.275992572,9.283362454,9.492429027,12.59407074,12.24612954
Neptune_Lundock081125,5.601993906,6.249416842,7.231229183,8.830845917,8.956915245,10.94549253,10.5897239
Neptune_Lundock081126,5.625047866,6.063472483,6.990952915,7.731751924,7.943647304,9.500790293,9.351930759
Uranus_Lundock080511,3.624679449,4.236796127,5.439056229,7.51776791,7.716019758,11.1505945,10.9726669
Uranus_Lundock081120,3.50682069,4.088661849,5.164333823,7.327297473,7.617294711,12.49636111,12.15442526
Titan_Lundock080505,6.132336984,6.070458642,6.295766242,7.138770686,8.141371023,9.048557715,8.675612114
Titan_Lundock080506,6.129328794,5.776363369,5.691177876,6.277814062,6.757778642,7.379323372,7.021807957
Titan_Lundock081124,6.340359397,6.096739312,6.250271026,7.024902513,7.589854652,10.09463484,9.909341669
Venus_MeadowsSpencer,-5.761124755,-5.909832782,-6.083807716,-5.914751494,-5.806971569,-5.347312392,-5.248227476
