Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,7.689836572,7.629848157,7.472861354,7.352631444,7.24006219,7.132732825,7.131069201
Moon_Lundock081121Luna1,-10.0263362,-10.2710108,-10.61136214,-11.06239631,-11.38820903,-11.05550288,-11.03109035
Earth_Lundock081121,-3.205287905,-3.155507924,-3.098714807,-3.54143036,-3.645834813,-3.635812071,-3.598132952
Mercury_Mallama2017,1.156511772,0.78609837,0.376278049,-0.22965242,-0.490361641,-0.750106121,-0.734156146
Io_Fanale1974,5.039002782,4.642197715,4.273435725,3.835319254,3.688037412,3.436256313,3.473342542
Mars_McCord1971,0.631015975,-0.092527272,-0.519138424,-0.744383561,-0.854751206,-0.951462254,-0.920714468
Dione_Lundock080505,9.691085082,9.707274373,9.692494331,9.629758841,10.01133719,10.18852472,10.23440951
Rhea_Lundock081125,9.192895185,9.038224981,8.9264314,8.735463982,9.08923295,10.33733542,10.36922241
Callisto_Spencer1999leading,5.940006672,5.590554484,5.251777919,5.052798622,5.023843594,5.062242045,5.061312372
Europa_Spencer1999trailing,5.055227447,4.750089734,4.430098694,4.443692975,4.98453897,5.928051203,5.857240035
Ganymede_Spencer1999leading,4.680189606,4.413532324,4.153504318,4.010101913,4.305862411,4.479675259,4.495991027
Enceladus_VIMS,11.25135901,11.02876514,10.80783767,10.68247975,10.8199566,10.87502595,10.95532368
Pluto_LorenziProtopapa,13.68340571,13.27814127,12.92822532,12.84220524,12.84784192,13.02562766,12.8851394
Jupiter_Lundock080507,-3.092871875,-3.238343455,-3.19843597,-2.449046813,-2.217365085,-0.801708649,-0.882385329
Saturn_Lundock080505withRing,0.29488146,0.263841142,0.482510987,0.629424377,0.560085026,3.095878338,2.799386161
Saturn_Lundock081119NPole,0.509162954,0.103451814,0.087615207,0.298559943,0.271039436,2.451373722,1.979859085
Saturn_Lundock081119withRing,0.50599434,0.162536241,0.156652876,0.400311309,0.398802495,2.505680363,2.064267166
Saturn_Lundock081122withRing,0.506742843,0.381454319,0.464088833,0.699733208,1.18561272,2.607227661,2.199336418
Neptune_Lundock080507,7.218742303,7.546697933,8.379900494,9.294293027,9.550472716,9.915794244,11.26912954
Neptune_Lundock081120,7.193667124,7.676637107,8.544608991,10.34234482,10.46255878,13.53912267,13.19251198
Neptune_Lundock081125,7.196145026,7.676692312,8.505768363,9.888503307,9.926941448,11.89065676,11.53622661
Neptune_Lundock081126,7.211910841,7.487604499,8.265222365,8.79052267,8.913783414,10.44374048,10.29667733
Uranus_Lundock080511,5.212325235,5.663653493,6.706573104,8.577461213,8.6861484,12.09431354,11.91850978
Uranus_Lundock081120,5.097819925,5.515110659,6.433190638,8.387403315,8.587579126,13.44137359,13.10080548
Titan_Lundock080505,7.702117835,7.476215946,7.561667257,8.197640208,9.111674198,9.994270657,9.622735574
Titan_Lundock080506,7.692811883,7.171345283,6.956962621,7.335875122,7.728375341,8.32479011,7.968729427
Titan_Lundock081124,7.908020978,7.498213938,7.515892715,8.083430733,8.560623399,11.03819149,10.8548259
Venus_MeadowsSpencer,-4.253697427,-4.524347737,-4.813837315,-4.857478558,-4.836588129,-4.406887708,-4.306282585
