Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,8.777119288,8.563515846,8.30548538,7.973072155,7.747411429,7.676456515,7.664606717
Moon_Lundock081121Luna1,-8.941341423,-9.344744381,-9.782685887,-10.44172356,-10.8808966,-10.51493288,-10.49919646
Earth_Lundock081121,-2.117713349,-2.217343702,-2.26978006,-2.921505592,-3.13829033,-3.093985363,-3.064599315
Mercury_Mallama2017,2.240154234,1.706055915,1.2131292,0.38936717,0.01478199,-0.200332939,-0.195556331
Io_Fanale1974,6.056570888,5.562781646,5.119530086,4.45886304,4.189968151,3.944674519,3.977732301
Mars_McCord1971,1.695932904,0.833326792,0.299034513,-0.126612378,-0.351229172,-0.410090024,-0.388344458
Dione_Lundock080505,10.77433563,10.64130339,10.521449,10.25113141,10.51864438,10.73351759,10.77082141
Rhea_Lundock081125,10.27887901,9.969110623,9.759271425,9.356555417,9.596559098,10.88493722,10.90761937
Callisto_Spencer1999leading,6.974961869,6.518949248,6.098595352,5.671047324,5.529878411,5.597271388,5.586972665
Europa_Spencer1999trailing,6.130965015,5.6730651,5.27956888,5.061092221,5.491181625,6.446939193,6.370151043
Ganymede_Spencer1999leading,5.745074305,5.347934057,4.974844062,4.639447951,4.809301774,5.029440008,5.034270793
Enceladus_VIMS,12.3337176,11.95676829,11.62905723,11.30010417,11.32511056,11.44057812,11.50879503
Pluto_LorenziProtopapa,14.76616348,14.20912343,13.76579666,13.47125933,13.35439595,13.54136735,13.39538005
Jupiter_Lundock080507,-2.007295268,-2.305466733,-2.365946867,-1.825763285,-1.709242788,-0.269351929,-0.360955255
Saturn_Lundock080505withRing,1.377878615,1.198716901,1.312517057,1.252534614,1.068569841,3.619117136,3.31270054
Saturn_Lundock081119NPole,1.584241049,1.032385802,0.917096036,0.921625387,0.779623809,2.960100463,2.48378305
Saturn_Lundock081119withRing,1.583511067,1.092033345,0.986127091,1.023213364,0.907345647,3.016954735,2.569690459
Saturn_Lundock081122withRing,1.591820623,1.314426927,1.293592877,1.322824678,1.696276645,3.121103097,2.706353857
Neptune_Lundock080507,8.308591677,8.494395858,9.209411745,9.918184225,10.05863962,10.45395213,11.81909409
Neptune_Lundock081120,8.293143886,8.626125203,9.375318657,10.96584002,10.97035178,14.06188044,13.70619248
Neptune_Lundock081125,8.29622425,8.625827322,9.340127689,10.51091674,10.4346875,12.41477722,12.05027293
Neptune_Lundock081126,8.304997005,8.43426992,9.099618681,9.414153408,9.421534877,10.98088375,10.82211627
Uranus_Lundock080511,6.304311191,6.6124959,7.538694751,9.201840898,9.193876395,12.62267773,12.43598025
Uranus_Lundock081120,6.1955302,6.463920983,7.264235614,9.012144848,9.095390882,13.96419105,13.61449863
Titan_Lundock080505,8.776850882,8.408581763,8.391294293,8.82119478,9.619601404,10.5123334,10.13234287
Titan_Lundock080506,8.761321572,8.09550065,7.786079363,7.958616138,8.236407476,8.844601387,8.479600151
Titan_Lundock081124,8.982589984,8.427653023,8.345445301,8.706573847,9.068751223,11.56735703,11.37363948
Venus_MeadowsSpencer,-3.237142152,-3.608080291,-3.989561425,-4.236732515,-4.330283699,-3.888885523,-3.791874908
