Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,11.38910258,10.81855711,10.151158,9.087293251,8.398674257,8.438084898,8.381216339
Moon_Lundock081121Luna1,-6.333636259,-7.097651554,-7.935866633,-9.325849184,-10.23126336,-9.75441972,-9.77991156
Earth_Lundock081121,0.496145581,0.060291966,-0.414146643,-1.807340655,-2.486223298,-2.328150998,-2.338145917
Mercury_Mallama2017,4.83048395,3.929803951,3.05810829,1.500334886,0.698139202,0.577068847,0.535297224
Io_Fanale1974,8.596653647,7.785971456,6.927568761,5.578504567,4.835913564,4.596975814,4.606710114
Mars_McCord1971,4.320134739,3.123850893,2.118481361,0.971919884,0.335155993,0.350299775,0.331264418
Dione_Lundock080505,13.37658993,12.90371051,12.37408943,11.36840746,11.16768212,11.50623784,11.50384645
Rhea_Lundock081125,12.88749983,12.22223031,11.61161176,10.47231479,10.24639518,11.66180054,11.64414787
Callisto_Spencer1999leading,9.556740712,8.678785728,7.934223237,6.775476131,6.179002247,6.279464429,6.235911354
Europa_Spencer1999trailing,8.717950467,7.801067118,7.112299204,6.162236005,6.143661411,7.155450744,7.043435366
Ganymede_Spencer1999leading,8.369901037,7.705288572,6.812440372,5.776601106,5.482677372,5.807586435,5.766104605
Enceladus_VIMS,14.9335108,14.20043114,13.48290852,12.4053039,11.99518085,12.24635972,12.26980577
Pluto_LorenziProtopapa,17.36537257,16.45251462,15.61404629,14.60681405,14.00913128,14.23145601,14.05070001
Jupiter_Lundock080507,0.60019897,-0.045159909,-0.503824226,-0.704735161,-1.045469099,0.452860971,0.310518415
Saturn_Lundock080505withRing,3.979773401,3.469635039,3.182252864,2.373406515,1.742879545,4.298914621,3.952627603
Saturn_Lundock081119NPole,4.166004938,3.296151776,2.785757596,2.043038774,1.450747402,3.584047753,3.088964488
Saturn_Lundock081119withRing,4.171444229,3.356887275,2.854388719,2.144244508,1.577615253,3.650915537,3.180623056
Saturn_Lundock081122withRing,4.199379236,3.586785312,3.161007965,2.444301377,2.401316678,3.765524075,3.323441322
Neptune_Lundock080507,10.92718552,10.8009595,11.08646742,11.04077832,10.72010262,11.24073924,12.61788868
Neptune_Lundock081120,10.93952628,10.94014139,11.24141964,12.08813166,11.62811127,14.73950094,14.34950073
Neptune_Lundock081125,10.94343872,10.93005419,11.20503287,11.62972755,11.09368826,13.09166459,12.69129255
Neptune_Lundock081126,10.93245834,10.73391126,10.96678402,10.53580111,10.08144056,11.71233563,11.50651496
Uranus_Lundock080511,8.930135334,8.920454733,9.426722602,10.32593363,9.852773494,13.32633684,13.09193028
Uranus_Lundock081120,8.837028523,8.777971641,9.133460042,10.13730979,9.754349743,14.64237012,14.25785746
Titan_Lundock080505,11.35680011,10.67199593,10.25545383,9.943436128,10.27993261,11.17096904,10.75821059
Titan_Lundock080506,11.3257958,10.33702264,9.644240112,9.079040075,8.899032416,9.509665301,9.110185971
Titan_Lundock081124,11.56306314,10.69334819,10.21444227,9.828136084,9.73155599,12.27623588,12.03770208
Venus_MeadowsSpencer,-0.715402869,-1.403348173,-2.153700927,-3.121170172,-3.656496691,-3.164066755,-3.09409825
