Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,8.437666415,8.300572031,8.115448767,7.880847739,7.690969936,7.604845296,7.597515694
Moon_Lundock081121Luna1,-9.282377911,-9.600337158,-9.97733849,-10.53360633,-10.93768915,-10.5935252,-10.57049691
Earth_Lundock081121,-2.460200019,-2.480715576,-2.466499547,-3.013342353,-3.195614433,-3.173762687,-3.137354679
Mercury_Mallama2017,1.914378437,1.448804404,1.017472228,0.299117413,-0.042510602,-0.26075215,-0.250894035
Io_Fanale1974,5.76412054,5.31817762,4.937534439,4.363412318,4.132041012,3.896152517,3.929275847
Mars_McCord1971,1.347753949,0.569894883,0.089005804,-0.219507426,-0.399287223,-0.484056208,-0.452228068
Dione_Lundock080505,10.43164418,10.37778516,10.32444002,10.15884441,10.46195803,10.65579449,10.69779387
Rhea_Lundock081125,9.940048743,9.70819402,9.567546879,9.26435218,9.540394522,10.81144437,10.83829365
Callisto_Spencer1999leading,6.66988759,6.256759024,5.909629884,5.578861398,5.471429984,5.531810518,5.526386282
Europa_Spencer1999trailing,5.793591937,5.412257804,5.084251269,4.965389185,5.431253603,6.395499174,6.321790294
Ganymede_Spencer1999leading,5.423460749,5.078162511,4.754151271,4.54595384,4.743766165,4.967536651,4.979904961
Enceladus_VIMS,11.9913543,11.69491718,11.42461412,11.22678691,11.26605105,11.36305197,11.43613081
Pluto_LorenziProtopapa,14.42615582,13.94659002,13.57778308,13.37894644,13.29318915,13.49324603,13.3522039
Jupiter_Lundock080507,-2.345427585,-2.567906601,-2.560853336,-1.918148875,-1.768861937,-0.338820748,-0.425085553
Saturn_Lundock080505withRing,1.035303595,0.934841153,1.112176817,1.160061671,1.008595049,3.554046852,3.253286402
Saturn_Lundock081119NPole,1.247764461,0.775334807,0.71756327,0.829777205,0.718475081,2.909391386,2.437292242
Saturn_Lundock081119withRing,1.245865316,0.834624302,0.786687604,0.931358243,0.846369061,2.963989203,2.521873357
Saturn_Lundock081122withRing,1.250637979,1.054777927,1.094383894,1.230983073,1.628668602,3.065864261,2.657135944
Neptune_Lundock080507,7.956310382,8.223307326,9.006177733,9.82572489,9.998693442,10.38467036,11.73325059
Neptune_Lundock081120,7.945208031,8.356064397,9.177353582,10.87373071,10.91183753,13.99820553,13.65106452
Neptune_Lundock081125,7.95080045,8.352981601,9.146164193,10.41860652,10.37684713,12.35183866,11.99208978
Neptune_Lundock081126,7.962929074,8.162993113,8.905065475,9.321774053,9.363518841,10.91213458,10.75873226
Uranus_Lundock080511,5.957305297,6.339452751,7.335514988,9.109268141,9.135403082,12.55516113,12.37413878
Uranus_Lundock081120,5.848418882,6.194365758,7.065756059,8.919974675,9.036607353,13.90051873,13.55935944
Titan_Lundock080505,8.438332447,8.146290922,8.192009452,8.728767578,9.560933094,10.45019481,10.07511221
Titan_Lundock080506,8.425859591,7.838637122,7.587858238,7.86633414,8.177283688,8.781470556,8.421704567
Titan_Lundock081124,8.646355326,8.170322718,8.145883685,8.614657223,9.009256872,11.49872082,11.31395574
Venus_MeadowsSpencer,-3.530682297,-3.860053982,-4.19097566,-4.32011919,-4.391267912,-3.930156746,-3.832233709
