Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	1.422598e+00
3.000686e-07	1.421912e+00
3.003682e-07	1.421545e+00
3.006681e-07	1.421441e+00
3.009683e-07	1.589978e+00
3.012689e-07	1.421306e+00
3.015697e-07	1.421237e+00
3.018708e-07	1.421254e+00
3.021723e-07	1.421090e+00
3.024740e-07	1.424066e+00
3.027760e-07	1.420965e+00
3.030783e-07	1.420883e+00
3.033810e-07	1.420825e+00
3.036839e-07	1.533307e+00
3.039872e-07	1.420731e+00
3.042907e-07	1.420630e+00
3.045945e-07	1.420612e+00
3.048987e-07	1.420523e+00
3.052031e-07	1.590003e+00
3.055079e-07	1.420435e+00
3.058130e-07	1.420322e+00
3.061183e-07	1.422183e+00
3.064240e-07	1.427596e+00
3.067300e-07	1.423793e+00
3.070363e-07	1.420501e+00
3.073428e-07	1.421501e+00
3.076497e-07	1.427892e+00
3.079569e-07	1.440430e+00
3.082644e-07	1.430104e+00
3.085723e-07	1.421740e+00
3.088804e-07	1.420153e+00
3.091888e-07	1.542011e+00
3.094975e-07	1.420524e+00
3.098066e-07	1.419741e+00
3.101159e-07	1.478772e+00
3.104256e-07	1.423037e+00
3.107356e-07	1.419502e+00
3.110459e-07	1.420923e+00
3.113564e-07	1.421932e+00
3.116674e-07	1.420198e+00
3.119786e-07	1.419290e+00
3.122901e-07	1.578933e+00
3.126019e-07	1.553734e+00
3.129141e-07	1.442614e+00
3.132265e-07	1.419024e+00
3.135393e-07	1.418671e+00
3.138524e-07	1.431185e+00
3.141658e-07	1.590003e+00
3.144795e-07	1.418377e+00
3.147935e-07	1.424989e+00
3.151078e-07	1.418260e+00
3.154225e-07	1.418701e+00
3.157374e-07	1.418811e+00
3.160527e-07	1.419565e+00
3.163683e-07	1.421964e+00
3.166842e-07	1.590003e+00
3.170004e-07	1.418003e+00
3.173170e-07	1.417900e+00
3.176338e-07	1.417820e+00
3.179510e-07	1.417634e+00
3.182685e-07	1.417947e+00
3.185863e-07	1.430590e+00
3.189044e-07	1.417477e+00
3.192228e-07	1.417900e+00
3.195416e-07	1.417345e+00
3.198607e-07	1.417289e+00
3.201800e-07	1.417212e+00
3.204998e-07	1.425067e+00
3.208198e-07	1.417059e+00
3.211401e-07	1.418145e+00
3.214608e-07	1.416895e+00
3.217818e-07	1.423829e+00
3.221031e-07	1.424364e+00
